key,value,date
#Hillary,0.085,10/11/16
#Hillary,0.087,10/12/16
#Hillary,0.064,10/13/16
#Hillary,0.076,10/14/16
#Hillary,0.092,10/15/16
#Hillary,0.09,10/16/16
#Hillary,0.11,10/17/16
#Hillary,0.069,10/18/16
#Hillary,0.044,10/19/16
#Hillary,0.048,10/20/16
#Hillary,0.076,10/21/16
#Hillary,0.065,10/22/16
#Hillary,0.064,10/23/16
#Hillary,0.09,10/24/16
#Hillary,0.071,10/25/16
#Hillary,0.077,10/26/16
#Hillary,0.056,10/27/16
#Hillary,0.065,10/28/16
#Hillary,0.077,10/29/16
#Hillary,0.074,10/30/16
#Hillary,0.055,10/31/16
#Hillary,0.083,11/01/16
#Hillary,0.055,11/02/16
#Hillary,0.062,11/03/16
#Hillary,0.082,11/04/16
#Hillary,0.071,11/05/16
#Hillary,0.07,11/06/16
#Hillary,0.048,11/07/16
#Hillary,0.025,11/08/16
#Hillary,0.011,11/09/16
#Hillary,0.0064,11/10/16
#ImWithHer,0.11,07/13/16
#ImWithHer,0.026,07/14/16
#ImWithHer,0.0,07/15/16
#ImWithHer,0.068,07/16/16
#ImWithHer,0.081,07/17/16
#ImWithHer,0.0,07/18/16
#ImWithHer,0.032,07/19/16
#ImWithHer,0.018,07/20/16
#ImWithHer,0.051,07/21/16
#ImWithHer,0.041,07/22/16
#ImWithHer,0.073,07/23/16
#ImWithHer,0.0,07/24/16
#ImWithHer,0.019,07/25/16
#ImWithHer,0.085,07/26/16
#ImWithHer,0.071,07/27/16
#ImWithHer,0.08,07/28/16
#ImWithHer,0.16,07/29/16
#ImWithHer,0.11,07/30/16
#ImWithHer,0.085,07/31/16
#ImWithHer,0.079,08/01/16
#ImWithHer,0.079,08/02/16
#ImWithHer,0.06,08/03/16
#ImWithHer,0.055,08/04/16
#ImWithHer,0.071,08/05/16
#ImWithHer,0.045,08/06/16
#ImWithHer,0.0,08/07/16
#ImWithHer,0.0,08/08/16
#ImWithHer,0.0,08/09/16
#ImWithHer,0.062,08/10/16
#ImWithHer,0.047,08/11/16
#ImWithHer,0.062,08/12/16
#ImWithHer,0.078,08/13/16
#ImWithHer,0.0,08/14/16
#ImWithHer,0.0,08/15/16
#ImWithHer,0.0,08/16/16
#ImWithHer,0.0,08/17/16
#ImWithHer,0.0,08/18/16
#ImWithHer,0.0,08/19/16
#ImWithHer,0.0,08/20/16
#ImWithHer,0.0,08/21/16
#ImWithHer,0.0,08/22/16
#ImWithHer,0.0,08/23/16
#ImWithHer,0.0,08/24/16
#ImWithHer,0.0,08/25/16
#ImWithHer,0.0,08/26/16
#ImWithHer,0.0,08/27/16
#ImWithHer,0.0,08/28/16
#ImWithHer,0.0,08/29/16
#ImWithHer,0.083,08/30/16
#ImWithHer,0.058,08/31/16
#ImWithHer,0.052,09/01/16
#ImWithHer,0.058,09/02/16
#ImWithHer,0.087,09/03/16
#ImWithHer,0.07,09/04/16
#ImWithHer,0.0,09/05/16
#ImWithHer,0.063,09/06/16
#ImWithHer,0.087,09/07/16
#ImWithHer,0.09,09/08/16
#ImWithHer,0.056,09/09/16
#ImWithHer,0.078,09/10/16
#ImWithHer,0.044,09/11/16
#ImWithHer,0.076,09/12/16
#ImWithHer,0.067,09/13/16
#ImWithHer,0.065,09/14/16
#ImWithHer,0.061,09/15/16
#ImWithHer,0.072,09/16/16
#ImWithHer,0.072,09/17/16
#ImWithHer,0.069,09/18/16
#ImWithHer,0.069,09/19/16
#ImWithHer,0.054,09/20/16
#ImWithHer,0.062,09/21/16
#ImWithHer,0.056,09/22/16
#ImWithHer,0.063,09/23/16
#ImWithHer,0.11,09/24/16
#ImWithHer,0.11,09/25/16
#ImWithHer,0.068,09/26/16
#ImWithHer,0.11,09/27/16
#ImWithHer,0.082,09/28/16
#ImWithHer,0.067,09/29/16
#ImWithHer,0.098,09/30/16
#ImWithHer,0.076,10/01/16
#ImWithHer,0.094,10/02/16
#ImWithHer,0.093,10/03/16
#ImWithHer,0.093,10/04/16
#ImWithHer,0.077,10/05/16
#ImWithHer,0.084,10/06/16
#ImWithHer,0.091,10/07/16
#ImWithHer,0.047,10/08/16
#ImWithHer,0.058,10/09/16
#ImWithHer,0.062,10/10/16
#ImWithHer,0.066,10/11/16
#ImWithHer,0.07,10/12/16
#ImWithHer,0.066,10/13/16
#ImWithHer,0.079,10/14/16
#ImWithHer,0.04,10/15/16
#ImWithHer,0.057,10/16/16
#ImWithHer,0.054,10/17/16
#ImWithHer,0.05,10/18/16
#ImWithHer,0.026,10/19/16
#ImWithHer,0.053,10/20/16
#ImWithHer,0.055,10/21/16
#ImWithHer,0.057,10/22/16
#ImWithHer,0.05,10/23/16
#ImWithHer,0.035,10/24/16
#ImWithHer,0.047,10/25/16
#ImWithHer,0.052,10/26/16
#ImWithHer,0.065,10/27/16
#ImWithHer,0.045,10/28/16
#ImWithHer,0.065,10/29/16
#ImWithHer,0.073,10/30/16
#ImWithHer,0.064,10/31/16
#ImWithHer,0.091,11/01/16
#ImWithHer,0.049,11/02/16
#ImWithHer,0.061,11/03/16
#ImWithHer,0.091,11/04/16
#ImWithHer,0.11,11/05/16
#ImWithHer,0.073,11/06/16
#ImWithHer,0.051,11/07/16
#ImWithHer,0.072,11/08/16
#ImWithHer,0.023,11/09/16
#ImWithHer,0.015,11/10/16
#MAGA,0.17,07/13/16
#MAGA,0.0,07/14/16
#MAGA,0.042,07/15/16
#MAGA,0.017,07/16/16
#MAGA,0.027,07/17/16
#MAGA,0.0,07/18/16
#MAGA,0.016,07/19/16
#MAGA,0.054,07/20/16
#MAGA,0.077,07/21/16
#MAGA,0.041,07/22/16
#MAGA,0.073,07/23/16
#MAGA,0.051,07/24/16
#MAGA,0.028,07/25/16
#MAGA,0.14,07/26/16
#MAGA,0.35,07/27/16
#MAGA,0.2,07/28/16
#MAGA,0.11,07/29/16
#MAGA,0.11,07/30/16
#MAGA,0.13,07/31/16
#MAGA,0.14,08/01/16
#MAGA,0.17,08/02/16
#MAGA,0.14,08/03/16
#MAGA,0.2,08/04/16
#MAGA,0.15,08/05/16
#MAGA,0.18,08/06/16
#MAGA,0.0,08/07/16
#MAGA,0.0,08/08/16
#MAGA,0.0,08/09/16
#MAGA,0.17,08/10/16
#MAGA,0.17,08/11/16
#MAGA,0.15,08/12/16
#MAGA,0.15,08/13/16
#MAGA,0.0,08/14/16
#MAGA,0.0,08/15/16
#MAGA,0.0,08/16/16
#MAGA,0.0,08/17/16
#MAGA,0.0,08/18/16
#MAGA,0.0,08/19/16
#MAGA,0.0,08/20/16
#MAGA,0.0,08/21/16
#MAGA,0.0,08/22/16
#MAGA,0.0,08/23/16
#MAGA,0.0,08/24/16
#MAGA,0.0,08/25/16
#MAGA,0.0,08/26/16
#MAGA,0.0,08/27/16
#MAGA,0.0,08/28/16
#MAGA,0.0,08/29/16
#MAGA,0.28,08/30/16
#MAGA,0.23,08/31/16
#MAGA,0.18,09/01/16
#MAGA,0.19,09/02/16
#MAGA,0.14,09/03/16
#MAGA,0.14,09/04/16
#MAGA,0.0,09/05/16
#MAGA,0.2,09/06/16
#MAGA,0.23,09/07/16
#MAGA,0.18,09/08/16
#MAGA,0.25,09/09/16
#MAGA,0.22,09/10/16
#MAGA,0.17,09/11/16
#MAGA,0.17,09/12/16
#MAGA,0.21,09/13/16
#MAGA,0.2,09/14/16
#MAGA,0.27,09/15/16
#MAGA,0.21,09/16/16
#MAGA,0.24,09/17/16
#MAGA,0.23,09/18/16
#MAGA,0.24,09/19/16
#MAGA,0.17,09/20/16
#MAGA,0.22,09/21/16
#MAGA,0.15,09/22/16
#MAGA,0.2,09/23/16
#MAGA,0.22,09/24/16
#MAGA,0.24,09/25/16
#MAGA,0.12,09/26/16
#MAGA,0.31,09/27/16
#MAGA,0.19,09/28/16
#MAGA,0.27,09/29/16
#MAGA,0.15,09/30/16
#MAGA,0.19,10/01/16
#MAGA,0.21,10/02/16
#MAGA,0.25,10/03/16
#MAGA,0.24,10/04/16
#MAGA,0.24,10/05/16
#MAGA,0.22,10/06/16
#MAGA,0.22,10/07/16
#MAGA,0.16,10/08/16
#MAGA,0.21,10/09/16
#MAGA,0.28,10/10/16
#MAGA,0.21,10/11/16
#MAGA,0.19,10/12/16
#MAGA,0.21,10/13/16
#MAGA,0.21,10/14/16
#MAGA,0.22,10/15/16
#MAGA,0.23,10/16/16
#MAGA,0.19,10/17/16
#MAGA,0.17,10/18/16
#MAGA,0.11,10/19/16
#MAGA,0.19,10/20/16
#MAGA,0.17,10/21/16
#MAGA,0.21,10/22/16
#MAGA,0.2,10/23/16
#MAGA,0.21,10/24/16
#MAGA,0.22,10/25/16
#MAGA,0.21,10/26/16
#MAGA,0.21,10/27/16
#MAGA,0.26,10/28/16
#MAGA,0.2,10/29/16
#MAGA,0.23,10/30/16
#MAGA,0.19,10/31/16
#MAGA,0.19,11/01/16
#MAGA,0.2,11/02/16
#MAGA,0.2,11/03/16
#MAGA,0.18,11/04/16
#MAGA,0.21,11/05/16
#MAGA,0.18,11/06/16
#MAGA,0.17,11/07/16
#MAGA,0.11,11/08/16
#MAGA,0.072,11/09/16
#MAGA,0.07,11/10/16
#NeverTrump,0.056,07/13/16
#NeverTrump,0.026,07/14/16
#NeverTrump,0.51,07/15/16
#NeverTrump,0.17,07/16/16
#NeverTrump,0.14,07/17/16
#NeverTrump,0.11,07/18/16
#NeverTrump,0.032,07/19/16
#NeverTrump,0.018,07/20/16
#NeverTrump,0.1,07/21/16
#NeverTrump,0.051,07/22/16
#NeverTrump,0.049,07/23/16
#NeverTrump,0.0,07/24/16
#NeverTrump,0.0093,07/25/16
#NeverTrump,0.028,07/26/16
#NeverTrump,0.032,07/27/16
#NeverTrump,0.082,07/28/16
#NeverTrump,0.051,07/29/16
#NeverTrump,0.066,07/30/16
#NeverTrump,0.11,07/31/16
#NeverTrump,0.1,08/01/16
#NeverTrump,0.11,08/02/16
#NeverTrump,0.11,08/03/16
#NeverTrump,0.084,08/04/16
#NeverTrump,0.077,08/05/16
#NeverTrump,0.076,08/06/16
#NeverTrump,0.0,08/07/16
#NeverTrump,0.0,08/08/16
#NeverTrump,0.0,08/09/16
#NeverTrump,0.094,08/10/16
#NeverTrump,0.081,08/11/16
#NeverTrump,0.095,08/12/16
#NeverTrump,0.068,08/13/16
#NeverTrump,0.0,08/14/16
#NeverTrump,0.0,08/15/16
#NeverTrump,0.0,08/16/16
#NeverTrump,0.0,08/17/16
#NeverTrump,0.0,08/18/16
#NeverTrump,0.0,08/19/16
#NeverTrump,0.0,08/20/16
#NeverTrump,0.0,08/21/16
#NeverTrump,0.0,08/22/16
#NeverTrump,0.0,08/23/16
#NeverTrump,0.0,08/24/16
#NeverTrump,0.0,08/25/16
#NeverTrump,0.0,08/26/16
#NeverTrump,0.0,08/27/16
#NeverTrump,0.0,08/28/16
#NeverTrump,0.0,08/29/16
#NeverTrump,0.068,08/30/16
#NeverTrump,0.075,08/31/16
#NeverTrump,0.077,09/01/16
#NeverTrump,0.065,09/02/16
#NeverTrump,0.063,09/03/16
#NeverTrump,0.047,09/04/16
#NeverTrump,0.0,09/05/16
#NeverTrump,0.063,09/06/16
#NeverTrump,0.083,09/07/16
#NeverTrump,0.068,09/08/16
#NeverTrump,0.069,09/09/16
#NeverTrump,0.073,09/10/16
#NeverTrump,0.058,09/11/16
#NeverTrump,0.056,09/12/16
#NeverTrump,0.059,09/13/16
#NeverTrump,0.064,09/14/16
#NeverTrump,0.065,09/15/16
#NeverTrump,0.055,09/16/16
#NeverTrump,0.045,09/17/16
#NeverTrump,0.05,09/18/16
#NeverTrump,0.064,09/19/16
#NeverTrump,0.057,09/20/16
#NeverTrump,0.055,09/21/16
#NeverTrump,0.062,09/22/16
#NeverTrump,0.069,09/23/16
#NeverTrump,0.065,09/24/16
#NeverTrump,0.049,09/25/16
#NeverTrump,0.05,09/26/16
#NeverTrump,0.021,09/27/16
#NeverTrump,0.046,09/28/16
#NeverTrump,0.059,09/29/16
#NeverTrump,0.07,09/30/16
#NeverTrump,0.046,10/01/16
#NeverTrump,0.053,10/02/16
#NeverTrump,0.055,10/03/16
#NeverTrump,0.058,10/04/16
#NeverTrump,0.046,10/05/16
#NeverTrump,0.069,10/06/16
#NeverTrump,0.051,10/07/16
#NeverTrump,0.067,10/08/16
#NeverTrump,0.055,10/09/16
#NeverTrump,0.03,10/10/16
